plant_type,crop,variety,method,water,plant_date,wave_seq,first_harvest_date,target_lbs_week,plant_count_or_sqft,row_feet,succession_days,harvest_weeks_per_planting,notes,url,avg_yield_per_plant,plants_per_linear_foot,planting_pattern,in_row_spacing_ft
Baby Greens,Arugula,Wild Arugula,direct_sow,medium,2026-02-28,1,2026-04-04,6.0,160.0,64,14,2.0,SDSC - Direct sow baby green,https://sandiegoseedcompany.com/product/herbs/wild-arugula-seeds/,0.075,,scattered,0.417
Baby Greens,Chicory,Gourmet Blend,direct_sow,medium,2026-02-28,1,2026-04-19,10.0,94,63,21,3.0,SDSC - Direct sow,https://sandiegoseedcompany.com/product/vegetables/greens/gourmet-blend-chicory-seeds/,0.35,1.5,5-star,1.0
Baby Greens,Greens Mixes,Ovation Greens Mix,direct_sow,medium,2026-02-28,1,2026-03-21,5.0,76.92,31,7,1.0,JS - Baby greens mix - direct sow,https://www.johnnyseeds.com/vegetables/greens/greens-mixes/ovation-greens-mix-organic-vegetable-seed-2697G.html,0.065,,scattered,0.167
Baby Greens,Lettuce (Mixed),Allstar Gourmet Mix,direct_sow,medium-high,2026-02-28,1,2026-03-28,10.0,153.85,62,7,1.0,JS - Baby lettuce mix - direct sow,https://www.johnnyseeds.com/vegetables/lettuce/lettuce-mixes/allstar-gourmet-lettuce-mix-vegetable-seed-2301.html,0.065,,scattered,0.833
Baby Greens,Mustard Greens,Wasabina,direct_sow,medium,2026-02-28,1,2026-03-21,5.0,81.08,32,21,3.0,JS - Direct sow baby green,https://www.johnnyseeds.com/vegetables/greens/mustard-greens/wasabina-mustard-green-seed-4396.html,0.185,,scattered,0.167
Baby Greens,Spinach,Corvair,direct_sow,medium,2026-02-28,1,2026-03-27,5.0,36,4,7,1.0,SDSC - Single variety,https://sandiegoseedcompany.com/product/vegetables/spinach/organic-corvair-spinach-seeds/,0.15,9.59,4,0.417
Brassica,Broccoli,Belstar F1,transplant,medium-high,2026-02-28,1,2026-05-04,20.0,66,28,21,3.0,JS only - 40 lbs total / 2 varieties,https://www.johnnyseeds.com/vegetables/broccoli/standard-broccoli/belstar-organic-f1-broccoli-seed-2815G.html,1.0,2.4,2,0.833
Brassica,Broccoli,Happy Rich F1,transplant,medium-high,2026-03-07,1,2026-04-03,10.0,66,33,21,3.0,Mini broccoli - shorter succession / Offset 7 days,https://www.johnnyseeds.com/vegetables/broccoli/mini-broccoli/happy-rich-f1-broccoli-seed-2629.html,0.5,2.0,2,1.0
Brassica,Cabbage,Bronco F1,transplant,medium-high,2026-02-28,1,2026-05-19,30.0,33,17,21,3.0,JS only - 40 lbs total,https://www.johnnyseeds.com/vegetables/cabbage/fresh-market-cabbage/bronco-organic-f1-cabbage-seed-5195G.html,3.0,2.0,2,1.0
Brassica,Cauliflower,Earlisnow F1,transplant,high,2026-02-28,1,2026-04-14,10.0,22,17,21,3.0,JS - 40 lbs total / 2 varieties,https://www.johnnyseeds.com/vegetables/cauliflower/standard-cauliflower/earlisnow-f1-cauliflower-seed-4247.html,1.5,1.33,2,1.5
Brassica,Cauliflower,Tessaury F1,transplant,high,2026-03-10,1,2026-05-07,10.0,22,17,21,3.0,JS organic - Offset 10 days,https://www.johnnyseeds.com/vegetables/cauliflower/standard-cauliflower/tessaury-organic-f1-cauliflower-seed-6042G.html,1.5,1.33,2,1.5
Brassica,Chinese Cabbage,Bilko F1 Chinese Cabbage,transplant,medium-high,2026-02-28,1,2026-04-26,20.0,29,22,14,2.0,JS only (use for Napa too),https://www.johnnyseeds.com/vegetables/chinese-cabbage/bilko-organic-f1-chinese-cabbage-seed-2814G.html,1.5,1.33,2,1.5
Brassica,Pak Choi,Black Summer F1,transplant,medium-high,2026-02-28,1,2026-04-14,15.0,142,40,21,3.0,JS variety,https://www.johnnyseeds.com/vegetables/greens/pac-choi-bok-choy/black-summer-f1-green-seed-2460.html,0.35,3.6,3,0.833
Head Lettuce,Lettuce (Single),Sunland,transplant,medium-high,2026-02-28,1,2026-04-25,20.0,31,21,10,1.43,JS romaine,https://www.johnnyseeds.com/vegetables/lettuce/romaine-lettuce-cos/sunland-lettuce-seed-4788.html,1.0,1.5,5-star,0.833
Root Vegetable,Beets,Boldor,transplant,medium,2026-02-28,1,2026-04-24,10.0,63,42,10,1.43,JS - 20 lbs total / 2 varieties,https://www.johnnyseeds.com/vegetables/beets/specialty-beets/boldor-organic-beet-seed-3121G.html,0.25,1.5,5-star,0.25
Root Vegetable,Beets,Boro F1,transplant,medium,2026-03-05,1,2026-04-24,10.0,63,42,10,1.43,JS - Offset 5 days,https://www.johnnyseeds.com/vegetables/beets/round-red-beets/boro-organic-f1-beet-seed-3300G.html,0.25,1.5,5-star,0.25
Root Vegetable,Carrots,Bengala F1,direct_sow,medium,2026-02-28,1,2026-05-24,30.0,398,22,21,3.0,JS - 60 lbs total / 2 varieties,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bengala-organic-f1-carrot-seed-5176G.html,0.25,17.96,3,0.167
Root Vegetable,Carrots,Bolero F1,direct_sow,medium,2026-03-07,1,2026-05-21,30.0,398,22,21,3.0,JS - Offset 7 days,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bolero-f1-carrot-seed-216.html,0.25,17.96,3,0.167
Root Vegetable,Radishes,Sora,direct_sow,low-medium,2026-02-28,1,2026-03-22,20.0,88,22,7,1.0,JS organic - 20 lbs total,https://www.johnnyseeds.com/vegetables/radishes/round-radishes/sora-organic-radish-seed-612G.html,0.25,4.0,4,1.0
