plant_type,crop,variety,method,water,plant_date,wave_seq,first_harvest_date,target_lbs_week,row_feet,succession_days,notes,url,avg_yield_per_plant,plants_per_linear_foot,plants_count
Baby Greens,Arugula,Wild Arugula,direct_sow,medium,2026-02-14,,2026-03-21,3.0,43,14,SDSC - Direct sow baby green,https://sandiegoseedcompany.com/product/herbs/wild-arugula-seeds/,0.001,62.5,2659
Baby Greens,Chicory,Gourmet Blend,direct_sow,medium,2026-02-14,,2026-04-05,5.0,6,21,SDSC - Direct sow,https://sandiegoseedcompany.com/product/vegetables/greens/gourmet-blend-chicory-seeds/,0.075,12.5,73
Baby Greens,Greens Mixes,Ovation Greens Mix,direct_sow,medium,2026-02-14,,2026-03-07,5.0,59,7,JS - Baby greens mix - direct sow,https://www.johnnyseeds.com/vegetables/greens/greens-mixes/ovation-greens-mix-organic-vegetable-seed-2697G.html,0.002,62.5,3693
Baby Greens,Lettuce (Mixed),Allstar Gourmet Mix,direct_sow,medium-high,2026-02-14,,2026-03-14,5.0,55,7,JS - Baby lettuce mix - direct sow,https://www.johnnyseeds.com/vegetables/lettuce/lettuce-mixes/allstar-gourmet-lettuce-mix-vegetable-seed-2301.html,0.002,50.0,2770
Baby Greens,Mustard Greens,Wasabina,direct_sow,medium,2026-02-14,,2026-03-07,5.0,6,21,JS - Direct sow baby green,https://www.johnnyseeds.com/vegetables/greens/mustard-greens/wasabina-mustard-green-seed-4396.html,0.075,12.5,73
Baby Greens,Spinach,Corvair,direct_sow,medium,2026-02-14,,2026-03-13,5.0,4,7,SDSC - Single variety,https://sandiegoseedcompany.com/product/vegetables/spinach/organic-corvair-spinach-seeds/,0.625,2.4,8
Brassica,Broccoli,Belstar F1,transplant,medium-high,2026-02-14,,2026-04-20,10.0,13,21,JS only - 20 lbs total / 2 varieties,https://www.johnnyseeds.com/vegetables/broccoli/standard-broccoli/belstar-organic-f1-broccoli-seed-2815G.html,1.0,0.86,11
Brassica,Broccoli,Happy Rich F1,transplant,medium-high,2026-02-21,,2026-03-20,10.0,25,21,Mini broccoli - shorter succession / Offset 7 days,https://www.johnnyseeds.com/vegetables/broccoli/mini-broccoli/happy-rich-f1-broccoli-seed-2629.html,1.0,0.44,11
Brassica,Cabbage,Bronco F1,transplant,medium-high,2026-02-14,,2026-05-05,20.0,9,21,JS only - 20 lbs total,https://www.johnnyseeds.com/vegetables/cabbage/fresh-market-cabbage/bronco-organic-f1-cabbage-seed-5195G.html,3.0,0.8,7
Brassica,Cauliflower,Earlisnow F1,transplant,high,2026-02-14,,2026-03-31,10.0,13,21,JS - 20 lbs total / 2 varieties,https://www.johnnyseeds.com/vegetables/cauliflower/standard-cauliflower/earlisnow-f1-cauliflower-seed-4247.html,1.5,0.57,7
Brassica,Cauliflower,Tessaury F1,transplant,high,2026-02-24,,2026-04-23,10.0,13,21,JS organic - Offset 10 days,https://www.johnnyseeds.com/vegetables/cauliflower/standard-cauliflower/tessaury-organic-f1-cauliflower-seed-6042G.html,1.5,0.57,7
Brassica,Chinese Cabbage,Bilko F1 Chinese Cabbage,transplant,medium-high,2026-02-14,,2026-04-12,20.0,15,14,JS only (use for Napa too),https://www.johnnyseeds.com/vegetables/chinese-cabbage/bilko-organic-f1-chinese-cabbage-seed-2814G.html,3.0,0.5,7
Brassica,Pak Choi,Black Summer F1,transplant,medium-high,2026-02-14,,2026-03-31,20.0,9,21,JS variety,https://www.johnnyseeds.com/vegetables/greens/pac-choi-bok-choy/black-summer-f1-green-seed-2460.html,3.0,0.8,7
Head Lettuce,Lettuce (Single),Sunland,transplant,medium-high,2026-02-14,,2026-04-11,8.0,8,10,JS romaine,https://www.johnnyseeds.com/vegetables/lettuce/romaine-lettuce-cos/sunland-lettuce-seed-4788.html,1.0,1.09,8
Root Vegetable,Beets,Boldor,transplant,medium,2026-02-14,,2026-04-10,5.0,14,10,JS - 10 lbs total / 2 varieties,https://www.johnnyseeds.com/vegetables/beets/specialty-beets/boldor-organic-beet-seed-3121G.html,0.25,1.6,22
Root Vegetable,Beets,Boro F1,transplant,medium,2026-02-19,,2026-04-10,5.0,14,10,JS - Offset 5 days,https://www.johnnyseeds.com/vegetables/beets/round-red-beets/boro-organic-f1-beet-seed-3300G.html,0.25,1.6,22
Root Vegetable,Carrots,Bengala F1,direct_sow,medium,2026-02-14,,2026-05-10,15.0,11,21,JS - 30 lbs total / 2 varieties,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bengala-organic-f1-carrot-seed-5176G.html,0.25,6.0,66
Root Vegetable,Carrots,Bolero F1,direct_sow,medium,2026-02-21,,2026-05-07,15.0,11,21,JS - Offset 7 days,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bolero-f1-carrot-seed-216.html,0.25,6.0,66
Root Vegetable,Radishes,Sora,direct_sow,low-medium,2026-02-14,,2026-03-08,10.0,4,7,JS organic - 10 lbs total,https://www.johnnyseeds.com/vegetables/radishes/round-radishes/sora-organic-radish-seed-612G.html,0.25,12.0,44
